Skeleton,Table,Line Number
SKPD2BDP,RPMLIBTB,36
SKPD2BDP,RPMLIBTB,44
SKPD2BDP,BASLIBTB,60
SKPD2BND,CMNDB2NN,16
SKPD2JSK,RPMLIBTB,14
SKPDBB,RPMTBDBB,20
SKPITEST,RPMLIBTB,28
SKPITEST,RPMTB&LIBTYPE,29
SKPLKORB,PDSTGTBL,78
SKPNEWCI,RPMLIBTB,6
SKPNEWCP,RPMLIBTB,18
SKRCMH,RPCMPLS,25
SKS$$050,&RMLBTBL,6
SKS$$050,&STGLTYP.CPYTB,22
SKS$$050,&STGLTYP.DELTB,27
SKS$$050,&STGLTYP.CPYTB,49
SKS$$050,&STGLTYP.DELTB,54
SKS$$050,&RMLBTBL,67
SKS$$050,&STGLTYP.RENTB,77
SKS$$050,&RMLBTBL,90
SKS$$T20,&RMLBTBL,21
SKS$$T20,IMSLSLTB,25
SKS$$T20,&RMLBTBL,84
SKS$$T20,&STGLTYP.DELTB,94
SKS$$T20,&RMLBTBL,103
SKS$$T20,&STGLTYP.RENTB,113
SKS$$T20,IMSLSLTB,122
SKS$BSCI,&RMLBTBL,49
SKS$BSCI,&STGLTYP.DELTB,79
SKS$BSCI,&STGLTYP.RENTB,90
SKS$BSCI,&STGLTYP.CPYTB,101
SKS$BSCI,SALTABLE,106
SKS$EOPT,&RMLBTBL,42
SKS$EOPT,&STGLTYP.DELTB,54
SKS$EOPT,&STGLTYP.RENTB,63
SKS$EOPT,&STGLTYP.CPYTB,72
SKS$PSYL,APSLIBTB,24
SKSBAUDT,LTYPETBL,28
SKSBAUDT,LTYPETBL,41
SKSBINDR,XPOLLTBL,56
SKSBINDR,XPOLLTBL,117
SKSCMPAR,BASLIBTB,10
SKSIDL,LTYPETBL,335
SKSIDL,LTYPETBL,368
SKSIDL,LTYPETBL,400
SKSPAP01,LTYPETBL,8
SKSPAP01,LTYPETBL,15
SKSPAP01,RPMLIBTB,23
SKSPAP01,BASLIBTB,30
SKSPLAUS,LTYPETBL,38
SKSPLAUS,BASLIBTB,49
SKSPLAUS,LTYPETBL,62
SKSPLAUS,BASLIBTB,71
SKSPLAUS,LTYPETBL,87
SKSPLAUS,RPMLIBTB,94
SKSPLAUS,BASLIBTB,106
SKSPLAUS,LTYPETBL,121
SKSPLAUS,RPMLIBTB,128
SKSPLAUS,BASLIBTB,140
SKSSACB,IMSLSLTB,24
SKUCMPAL,COMPRTBL,19
