Parent Skel, Concatenation Offset, Imbedded Skel, Concatenated Offset,Line Number, Optional, No File Tailoring, Extended
CMN$$HKP,2,CMN$$SPR,1,47,,,NOEXT
CMN$$IGN,1,CMNJSPRM,1,11,,,NOEXT
CMN$$IGN,1,CMNJSPRM,1,75,,,NOEXT
CMN$$IGN,1,CMNPDPGN,1,121,,,NOEXT
CMN$$IGN,1,CMNPDPGN,1,125,,,NOEXT
CMN$$IGN,1,CMNMFSPG,1,133,,,NOEXT
CMN$$IMS,1,CMN$$SPR,1,29,,,NOEXT
CMN$$JCD,1,SKMAPPLV,1,22,,,NOEXT
CMN$$JCD,1,SKM$$JLB,1,87,,,NOEXT
CMN$$JNM,1,SKMAPPLV,1,9,,,NOEXT
CMN$$JNM,1,SKM$$JLB,1,32,,,NOEXT
CMN$$JNM,1,SKIPIKET,1,33,,,NOEXT
CMN$$JNM,1,CAS$$IMO,1,36,,,NOEXT
CMN$$LB2,1,CMN$$SPR,1,8,,,NOEXT
CMN$$LDT,2,CMN$$JCD,1,1,,,NOEXT
CMN$$LDT,2,CMN$$SPR,1,8,,,NOEXT
CMN$$LNK,1,CMN$$OBL,1,161,,,NOEXT
CMN$$LNK,1,CMN$$SYL,1,163,,,NOEXT
CMN$$LNK,1,CMN$$ILL,1,169,,,NOEXT
CMN$$LNK,1,CMN$$SYL,1,239,,,NOEXT
CMN$$LNK,1,CMN$$ILC,1,258,,,NOEXT
CMN$$LNK,1,CMN$$PAS,2,264,,,NOEXT
CMN$$MFS,1,CMN$$SYC,1,37,,,NOEXT
CMN$$MFS,1,CMN$$SYC,1,108,,,NOEXT
CMN$$N10,2,CMN$$NET,2,73,,,NOEXT
CMN$$N15,2,CMN$$NET,2,5,,,NOEXT
CMN$$N19,2,CMN$$NET,2,5,,,NOEXT
CMN$$N25,2,CMN$$NET,2,5,,,NOEXT
CMN$$N29,2,CMN$$NET,2,5,,,NOEXT
CMN$$N35,2,CMN$$NET,2,5,,,NOEXT
CMN$$N39,2,CMN$$NET,2,6,,,NOEXT
CMN$$N54,2,CMN$$NET,2,5,,,NOEXT
CMN$$N59,2,CMN$$NET,2,5,,,NOEXT
CMN$$N65,2,CMN$$NET,2,5,,,NOEXT
CMN$$OTH,2,CMN$$VAR,1,2,,,NOEXT
CMN$$OTH,2,CMN90,1,45,,,NOEXT
CMN$$OTH,2,CMN99,1,46,,,NOEXT
CMN$$OTH,2,CMN$$PCP,1,53,,,NOEXT
