Skeleton,Program,Line Number
CMN$$NTF,IEBGENER,63
CMN$$NTF,IRXJCL,77
CMN$$OBJ,CMNBAT90,6
CMN$$OBJ,SERCOPY,35
CMN$$OBJ,CMNSSOBJ,58
CMN$$OBJ,SERCOPY,70
CMN$$ORC,PCC,7
CMN$$OTH,SERCOPY,14
CMN$$PAN,PAN#1,5
CMN$$PAS,SERCOPY,6
CMN$$PBL,IEFBR14,5
CMN$$PBL,SERCOPY,17
CMN$$PBL,SERCOPY,33
CMN$$PBL,SERCOPY,55
CMN$$PBL,AFOLIBR,74
CMN$$PBL,SERCOPY,104
CMN$$PBL,CMNDELTA,119
CMN$$PBL,PAN#1,134
CMN$$PBL,CMNUPDAT,149
CMN$$PBL,IEFBR14,166
CMN$$PBL,CMNWRITE,170
CMN$$PBL,IEBGENER,225
CMN$$PCP,SERPRINT,50
CMN$$PCP,IKJEFT01,60
CMN$$PCP,SERCOPY,99
CMN$$PCP,SERCOPY,111
CMN$$PCP,CMNBATCH,120
CMN$$PDB,DSNHPC,17
CMN$$PDB,SERCOPY,118
CMN$$PDB,CMNBAT90,147
CMN$$PDB,CMNBAT90,177
CMN$$PLI,CH7060,23
CMN$$PLI,IEL0AA,26
CMN$$PLI,IEL0AA,31
CMN$$PLI,IEL1AA,35
CMN$$PLI,IEFBR14,115
CMN$$PLI,STRXPLF,125
CMN$$PLK,EDCPRLK,5
CMN$$PLP,CMNPOPLP,33
CMN$$PMT,SERCOPY,17
CMN$$PRB,CMNDB2PL,19
CMN$$PRB,IKJEFT1A,209
CMN$$PRB,IKJEFT01,212
CMN$$PRO,IEBCOPY,5
CMN$$PRS,SY4020,7
CMN$$PRT,IEBGENER,5
CMN$$PRT,IEFBR14,12
CMN$$PSQ,CMNDB2DQ,28
CMN$$PSQ,CMNDB2DD,53
CMN$$PSQ,CMNDB2DQ,134
CMN$$PSQ,CMNDB2DD,172
CMN$$PSQ,SORT,236
CMN$$PSQ,CMNDB2TR,250
CMN$$PST,CMNDB2SL,17
CMN$$RAL,IDCAMS,11
CMN$$RAL,ICETOOL,36
CMN$$RAL,IKJEFT01,128
CMN$$RAL,IKJEFT1A,162
CMN$$RAL,IKJEFT01,344
CMN$$RAL,CMNRACHK,366
CMN$$RAP,IKJEFT01,31
CMN$$RAU,IDCAMS,59
CMN$$RAU,CMNRA000,75
CMN$$RBD,IEBGENER,11
CMN$$RBD,IEFBR14,30
CMN$$RBD,IEBGENER,32
CMN$$RBD,CMNBATCH,44
CMN$$RGN,CMNRA500,12
CMN$$RMS,SERCOPY,5
CMN$$RPB,CMNDB2PL,19
CMN$$RPB,IKJEFT1A,213
CMN$$RPB,IKJEFT01,216
CMN$$RPM,IEBGENER,66
CMN$$RPM,IEBCOPY,141
CMN$$RPM,IEBGENER,183
CMN$$RPM,IEBGENER,192
CMN$$RPM,IEFBR14,298
CMN$$RPM,IEBCOPY,313
CMN$$RPM,IEBCOPY,326
CMN$$RPM,IEBCOPY,390
CMN$$RPM,IEBCOPY,403
CMN$$RPT,IKJEFT1A,8
CMN$$RSQ,CMNDB2DQ,28
CMN$$RSQ,CMNDB2DD,53
CMN$$RSQ,CMNDB2DQ,134
CMN$$RSQ,CMNDB2DD,174
CMN$$RSQ,SORT,240
CMN$$RSQ,CMNDB2TR,254
CMN$$SPB,CMNDB2PL,22
CMN$$SPB,IKJEFT1A,216
CMN$$SPB,IKJEFT01,219
CMN$$SQL,CMNDB2DQ,30
CMN$$SQL,CMNDB2DD,54
CMN$$SQL,SORT,116
CMN$$SQL,CMNDB2TR,130
CMN$$SQP,DSNHPC,6
CMN$$SSI,CMNSSIDN,8
CMN$$STP,CMNDB2SL,25
CMN$$TRK,CMNRGTRK,6
CMN$$TRK,CMNRGTRK,20
CMN$$WRT,PAN#1,17
CMN$$WRT,AFOLIBR,36
CMN$$WRT,SERCOPY,62
CMN$$WRT,CMNWRITE,101
CMN$$XCD,XCOMJOB,14
CMN$$XCP,XCOMJOB,14
CMN$$XPL,IEBCOPY,32
CMN$$XPL,IEBCOPY,57
CMN$$XPL,IEBCOPY,79
CMN00,CMNBATCH,10
CMN00INS,CMNBATCH,5
CMN10,IEFBR14,42
CMN10,IEBGENER,161
CMN10,CHWAIT,196
CMN10,IEBGENER,225
CMN10,IEBCOPY,237
CMN10,IEBCOPY,252
CMN10,IEBCOPY,294
CMN10,IDCAMS,310
CMN10,IEBCOPY,316
CMN10,IEBCOPY,346
CMN10,IKJEFT01,376
CMN10,SY7660,406
CMN10,IEFBR14,422
